gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,,,,,,,,
nema,b1650,[c],39.516,365,rich,,0.73,,,,,,,,,,
gloa,b1651,[e],14.92,135,rich,320.3108314,0.73,,,,,,,,,,
rnt,b1652,[l],23.522,215,rich,,0.73,,,,,,,,,,
grxd,b1654,,12.879,115,rich,3105.190085,0.73,,,,,,,,,,
sodb,b1656,[p],21.265,193,rich,9913.886351,0.73,,,,,,,,,,
purr,b1658,[k],38.174,341,rich,725.0307167,0.73,,,,,,,,,,
cfa,b1661,[m],43.909,382,rich,,0.73,,,,,,,,,,
ribc,b1662,[h],23.445,213,rich,484.1426636,0.73,,,,,,,,,,
ydhq,b1664,[mu],42.876,418,rich,83.26088214,0.73,,,,,,,,,,
ydhr,b1667,,11.288,101,rich,1133.656739,0.73,,,,,,,,,,
pykf,b1676,[g],50.729,470,rich,5647.291773,0.73,,,,,,,,,,
lpp,b1677,[m],8.3234,78,rich,186637.8562,0.73,,,,,,,,,,
ynhg,b1678,[s],36.082,334,rich,145.0024713,0.73,,,,,,,,,,
sufs,b1680,[e],44.433,406,rich,12.51716722,0.73,,,,,,,,,,
sufc,b1682,[o],27.582,248,rich,51.49033262,0.73,,,,,,,,,,
sufb,b1683,[o],54.745,495,rich,5.438024103,0.73,,,,,,,,,,
ydii,b1686,[q],14.945,136,rich,298.9523003,0.73,,,,,,,,,,
ydij,b1687,[c],113.25,1018,rich,218.1245485,0.73,,,,,,,,,,
ydik,b1688,[r],39.841,370,rich,,0.73,,,,,,,,,,
arod,b1693,[e],27.466,252,rich,148.4849088,0.73,,,,,,,,,,
ppsa,b1702,,87.434,792,rich,1179.001046,0.73,,,,,,,,,,
ppsr,b1703,,31.211,277,rich,,0.73,,,,,,,,,,
aroh,b1704,[e],38.735,348,rich,100.6360092,0.73,,,,,,,,,,
btue,b1710,[o],20.469,183,rich,560.2283406,0.73,,,,,,,,,,
ihfa,b1712,[l],11.354,99,rich,6145.617696,0.73,,,,,,,,,,
phet,b1713,[r],87.377,795,rich,2652.2413,0.73,,,,,,,,,,
phes,b1714,[j],36.831,327,rich,3113.389013,0.73,,,,,,,,,,
rplt,b1716,[j],13.497,118,rich,18343.90843,0.73,,,,,,,,,,
rpmi,b1717,,7.2888,65,rich,,0.73,,,,,,,,,,
infc,b1718,[j],20.564,180,rich,4620.71157,0.73,,,,,,,,,,
thrs,b1719,[j],74.013,642,rich,1158.105795,0.73,,,,,,,,,,
pfkb,b1723,,32.456,309,rich,138.7882979,0.73,,,,,,,,,,
ynia,b1725,[g],32.458,286,rich,,0.73,,,,,,,,,,
ynic,b1727,[r],24.33,222,rich,372.4260868,0.73,,,,,,,,,,
ydjn,b1729,[r],48.661,463,rich,1613.985952,0.73,,,,,,,,,,
kate,b1732,,84.162,753,rich,163.7791657,0.73,,,,,,,,,,
chbb,b1738,[g],11.426,106,rich,118.613615,0.73,,,,,,,,,,
osme,b1739,,12.021,112,rich,3159.715813,0.73,,,,,,,,,,
nade,b1740,[h],30.636,275,rich,650.5732403,0.73,,,,,,,,,,
spy,b1743,[untp],18.199,161,rich,,0.73,,,,,,,,,,
astc,b1748,[e],43.665,406,rich,,0.73,,,,,,,,,,
xtha,b1749,[l],30.969,268,rich,294.2408084,0.73,,,,,,,,,,
ynjb,b1754,[r],42.844,388,rich,,0.73,,,,,,,,,,
ynje,b1757,,48.228,435,rich,,0.73,,,,,,,,,,
gdha,b1761,[e],48.581,447,rich,1752.203631,0.73,,,,,,,,,,
seld,b1764,[e],36.687,347,rich,551.2052872,0.73,,,,,,,,,,
ydja,b1765,[c],20.059,183,rich,944.5820825,0.73,,,,,,,,,,
sppa,b1766,[ou],67.219,618,rich,,0.73,,,,,,,,,,
ansa,b1767,[ej],37.127,338,rich,66.26814364,0.73,,,,,,,,,,
pnca,b1768,,23.362,213,rich,,0.73,,,,,,,,,,
ydjf,b1770,,28.261,252,rich,,0.73,,,,,,,,,,
yeac,b1777,,10.338,90,rich,,0.73,,,,,,,,,,
msrb,b1778,,15.451,137,rich,766.9027007,0.73,,,,,,,,,,
gapa,b1779,[g],35.532,331,rich,41729.7679,0.73,,,,,,,,,,
yead,b1780,,32.666,294,rich,979.0709303,0.73,,,,,,,,,,
mipa,b1782,[m],27.831,248,rich,1872.211336,0.73,,,,,,,,,,
yeag,b1783,[t],74.479,644,rich,49.90138759,0.73,,,,,,,,,,
yeak,b1787,[s],17.85,167,rich,,0.73,,,,,,,,,,
fadd,b1805,[iq],62.331,561,rich,,0.73,,,,,,,,,,
yeay,b1806,[m],20.921,193,rich,,0.73,,,,,,,,,,
yoab,b1809,,12.493,114,rich,1034.468986,0.73,,,,,,,,,,
yoah,b1811,,6.5542,59,rich,,0.73,,,,,,,,,,
sdaa,b1814,[e],48.906,454,rich,,0.73,,,,,,,,,,
manx,b1817,[g],35.047,323,rich,11931.67794,0.73,,,,,,,,,,
many,b1818,[g],27.635,266,rich,,0.73,,,,,,,,,,
manz,b1819,,30.955,283,rich,1390.392194,0.73,,,,,,,,,,
cspc,b1823,[k],7.4023,69,rich,52167.15301,0.73,,,,,,,,,,
yebo,b1825,,10.792,95,rich,,0.73,,,,,,,,,,
kdgr,b1827,[k],30.029,263,rich,301.9817317,0.73,,,,,,,,,,
htpx,b1829,[o],31.923,293,rich,311.8886383,0.73,,,,,,,,,,
prc,b1830,[m],76.662,682,rich,265.041424,0.73,,,,,,,,,,
proq,b1831,,25.892,232,rich,1188.449568,0.73,,,,,,,,,,
msrc,b1832,,18.121,165,rich,295.362738,0.73,,,,,,,,,,
yebe,b1846,[s],23.687,219,rich,,0.73,,,,,,,,,,
yebf,b1847,,12.962,118,rich,189.89296,0.73,,,,,,,,,,
purt,b1849,[f],42.433,392,rich,637.5513809,0.73,,,,,,,,,,
eda,b1850,[g],22.284,213,rich,2072.190678,0.73,,,,,,,,,,
zwf,b1852,[g],55.704,491,rich,795.57469,0.73,,,,,,,,,,
yebk,b1853,[k],31.975,289,rich,,0.73,,,,,,,,,,
pyka,b1854,[g],51.357,480,rich,2473.585443,0.73,,,,,,,,,,
lpxm,b1855,,37.41,323,rich,,0.73,,,,,,,,,,
znua,b1857,,33.777,310,rich,84.66533349,0.73,,,,,,,,,,
ruva,b1861,[l],22.085,203,rich,,0.73,,,,,,,,,,
yebc,b1864,[s],26.422,246,rich,2396.429221,0.73,,,,,,,,,,
asps,b1866,[j],65.913,590,rich,1563.061812,0.73,,,,,,,,,,
yecd,b1867,[q],20.452,188,rich,,0.73,,,,,,,,,,
cmoa,b1870,,27.776,247,rich,88.76308431,0.73,,,,,,,,,,
cmob,b1871,,37.006,323,rich,,0.73,,,,,,,,,,
yecm,b1875,,21.205,188,rich,,0.73,,,,,,,,,,
args,b1876,[j],64.682,577,rich,478.2463241,0.73,,,,,,,,,,
yect,b1877,,18.885,162,rich,2183.77646,0.73,,,,,,,,,,
chez,b1881,[nt],23.976,214,rich,154.1500006,0.73,,,,,,,,,,
chey,b1882,[t],14.097,129,rich,370.7828681,0.73,,,,,,,,,,
tap,b1885,[nt],57.511,533,rich,13.69924995,0.73,,,,,,,,,,
tar,b1886,[nt],59.943,553,rich,399.0252161,0.73,,,,,,,,,,
chew,b1887,[nt],18.084,167,rich,403.9373514,0.73,,,,,,,,,,
chea,b1888,[nt],71.382,654,rich,149.1517571,0.73,,,,,,,,,,
motb,b1889,[n],34.186,308,rich,202.0457001,0.73,,,,,,,,,,
mota,b1890,[n],32.011,295,rich,,0.73,,,,,,,,,,
flhc,b1891,,21.566,192,rich,,0.73,,,,,,,,,,
otsa,b1896,[g],53.61,474,rich,,0.73,,,,,,,,,,
araf,b1901,[g],35.54,329,rich,,0.73,,,,,,,,,,
ftna,b1905,,19.424,165,rich,904.7365202,0.73,,,,,,,,,,
yeca,b1908,[r],25.039,221,rich,88.09738041,0.73,,,,,,,,,,
uvry,b1914,[tk],23.892,218,rich,,0.73,,,,,,,,,,
yecf,b1915,,8.2385,74,rich,,0.73,,,,,,,,,,
yecc,b1917,[e],27.677,250,rich,79.7398721,0.73,,,,,,,,,,
yecs,b1918,[e],24.801,222,rich,109.8516982,0.73,,,,,,,,,,
dcyd,b1919,,35.153,328,rich,319.1977568,0.73,,,,,,,,,,
fliy,b1920,[et],29.039,266,rich,6852.914358,0.73,,,,,,,,,,
flic,b1923,[n],51.294,498,rich,1956.46389,0.73,,,,,,,,,,
amya,b1927,[g],56.639,495,rich,,0.73,,,,,,,,,,
yedd,b1928,,14.983,137,rich,570.1134189,0.73,,,,,,,,,,
yedf,b1930,[o],8.6389,77,rich,,0.73,,,,,,,,,,
flif,b1938,[nu],60.588,552,rich,9.972809492,0.73,,,,,,,,,,
flig,b1939,[n],36.776,331,rich,30.04449076,0.73,,,,,,,,,,
flih,b1940,[nu],25.05,228,rich,,0.73,,,,,,,,,,
flii,b1941,[nu],49.315,457,rich,,0.73,,,,,,,,,,
flil,b1944,[n],17.221,154,rich,,0.73,,,,,,,,,,
flin,b1946,[nu],14.855,137,rich,100.6121321,0.73,,,,,,,,,,
yedp,b1955,[r],30.439,271,rich,,0.73,,,,,,,,,,
yedi,b1958,[s],32.19,305,rich,76.19261634,0.73,,,,,,,,,,
hcha,b1967,[r],31.19,283,rich,111.1478159,0.73,,,,,,,,,,
mtfa,b1976,,30.279,265,rich,,0.73,,,,,,,,,,
amn,b1982,[f],53.994,484,rich,74.66519118,0.73,,,,,,,,,,
yeen,b1983,[s],25.867,238,rich,202.5593122,0.73,,,,,,,,,,
erfk,b1990,[s],34.411,310,rich,,0.73,,,,,,,,,,
flu,b2000,,106.82,1039,rich,9.602145839,0.73,,,,,,,,,,
yeex,b2007,,12.778,109,rich,4622.725366,0.73,,,,,,,,,,
yeed,b2012,[o],8.1482,75,rich,,0.73,,,,,,,,,,
plap,b2014,,49.537,452,rich,,0.73,,,,,,,,,,
yeez,b2016,[mg],29.68,274,rich,123.9204701,0.73,,,,,,,,,,
hisg,b2019,[e],33.366,299,rich,1775.515102,0.73,,,,,,,,,,
hisd,b2020,[e],46.11,434,rich,797.3013702,0.73,,,,,,,,,,
hisc,b2021,[e],39.36,356,rich,1210.5383,0.73,,,,,,,,,,
hisb,b2022,[e],40.278,355,rich,932.7677263,0.73,,,,,,,,,,
hish,b2023,[e],21.653,196,rich,475.7985716,0.73,,,,,,,,,,
hisa,b2024,[e],26.032,245,rich,284.8439287,0.73,,,,,,,,,,
hisf,b2025,[e],28.454,258,rich,417.3724887,0.73,,,,,,,,,,
hisi,b2026,[e],22.756,203,rich,125.7069079,0.73,,,,,,,,,,
cld,b2027,,36.454,326,rich,1871.708193,0.73,,,,,,,,,,
gnd,b2029,[g],51.481,468,rich,12305.00244,0.73,,,,,,,,,,
wbbk,b2032,[m],43.188,372,rich,212.4804206,0.73,,,,,,,,,,
wbbj,b2033,[r],21.675,196,rich,,0.73,,,,,,,,,,
wbbi,b2034,,37.757,330,rich,910.4746958,0.73,,,,,,,,,,
glf,b2036,[m],42.965,367,rich,952.9587206,0.73,,,,,,,,,,
rfbc,b2038,[m],21.27,185,rich,162.479504,0.73,,,,,,,,,,
rfba,b2039,[m],32.693,293,rich,1171.956201,0.73,,,,,,,,,,
rfbd,b2040,[m],32.694,299,rich,657.2423442,0.73,,,,,,,,,,
rfbb,b2041,[m],40.558,361,rich,1041.438507,0.73,,,,,,,,,,
galf,b2042,[m],32.829,297,rich,1843.928606,0.73,,,,,,,,,,
cpsb,b2049,[m],53.016,478,rich,,0.73,,,,,,,,,,
dcd,b2065,[f],21.249,193,rich,71.41479791,0.73,,,,,,,,,,
udk,b2066,[f],24.353,213,rich,269.4388454,0.73,,,,,,,,,,
yege,b2067,,123.89,1105,rich,,0.73,,,,,,,,,,
baes,b2078,[t],51.991,467,rich,,0.73,,,,,,,,,,
yegp,b2080,,12.024,110,rich,141.1089922,0.73,,,,,,,,,,
yegq,b2081,[o],51.193,453,rich,209.2597546,0.73,,,,,,,,,,
gatd,b2091,[er],37.39,346,rich,2647.822714,0.73,,,,,,,,,,
gatc,b2092,[g],48.364,451,rich,3065.38875,0.73,,,,,,,,,,
gatb,b2093,[g],10.222,94,rich,25870.53692,0.73,,,,,,,,,,
gata,b2094,[gt],16.907,150,rich,19891.8764,0.73,,,,,,,,,,
gatz,b2095,[g],47.108,420,rich,24299.57899,0.73,,,,,,,,,,
gaty,b2096,[g],30.812,284,rich,19545.98027,0.73,,,,,,,,,,
fbab,b2097,,38.109,350,rich,679.1731185,0.73,,,,,,,,,,
thid,b2103,[h],28.633,266,rich,379.242066,0.73,,,,,,,,,,
thim,b2104,[h],27.339,262,rich,336.2950155,0.73,,,,,,,,,,
rcnr,b2105,,10.134,90,rich,411.7198197,0.73,,,,,,,,,,
rcnb,b2107,,12.466,112,rich,,0.73,,,,,,,,,,
mrp,b2113,,39.938,369,rich,497.3281172,0.73,,,,,,,,,,
metg,b2114,[j],76.254,677,rich,973.0694793,0.73,,,,,,,,,,
osmf,b2131,,32.609,305,rich,189.2491163,0.73,,,,,,,,,,
bglx,b2132,[g],83.459,765,rich,196.6687338,0.73,,,,,,,,,,
dld,b2133,[c],64.612,571,rich,450.0091848,0.73,,,,,,,,,,
pbpg,b2134,[m],33.887,310,rich,,0.73,,,,,,,,,,
cdd,b2143,[f],31.54,294,rich,53.65475603,0.73,,,,,,,,,,
mglc,b2148,[g],35.55,336,rich,,0.73,,,,,,,,,,
mgla,b2149,[g],56.415,506,rich,988.659868,0.73,,,,,,,,,,
mglb,b2150,[g],35.712,332,rich,78757.90897,0.73,,,,,,,,,,
fole,b2153,[h],24.83,222,rich,1762.262246,0.73,,,,,,,,,,
yeig,b2154,[r],31.259,278,rich,,0.73,,,,,,,,,,
cira,b2155,[p],73.895,663,rich,105.5839183,0.73,,,,,,,,,,
lysp,b2156,[e],53.575,489,rich,,0.73,,,,,,,,,,
nfo,b2159,[l],31.479,285,rich,,0.73,,,,,,,,,,
psug,b2165,,32.909,312,rich,,0.73,,,,,,,,,,
frua,b2167,[g],57.518,563,rich,,0.73,,,,,,,,,,
fruk,b2168,[g],33.755,312,rich,75.18221045,0.73,,,,,,,,,,
frub,b2169,[g],39.647,376,rich,98.27682836,0.73,,,,,,,,,,
yeip,b2171,,21.532,190,rich,1312.680425,0.73,,,,,,,,,,
spr,b2175,[m],21.04,188,rich,,0.73,,,,,,,,,,
yejf,b2180,[r],58.725,529,rich,,0.73,,,,,,,,,,
rsua,b2183,[j],25.865,231,rich,253.5863924,0.73,,,,,,,,,,
rply,b2185,[j],10.693,94,rich,31601.52808,0.73,,,,,,,,,,
yejk,b2186,[r],37.822,335,rich,549.1909896,0.73,,,,,,,,,,
yejl,b2187,[s],8.2884,75,rich,330.545282,0.73,,,,,,,,,,
narp,b2193,[tk],23.575,215,rich,102.6166063,0.73,,,,,,,,,,
eco,b2209,[r],18.192,162,rich,,0.73,,,,,,,,,,
mqo,b2210,[r],60.229,548,rich,85.2489648,0.73,,,,,,,,,,
ompc,b2215,[m],40.368,367,rich,44558.51985,0.73,,,,,,,,,,
rcsd,b2216,[t],100.37,890,rich,15.57889847,0.73,,,,,,,,,,
rcsb,b2217,[tk],23.67,216,rich,1326.601719,0.73,,,,,,,,,,
gyra,b2231,[l],96.962,875,rich,1044.895687,0.73,,,,,,,,,,
ubig,b2232,[h],26.555,240,rich,421.7389144,0.73,,,,,,,,,,
nrda,b2234,[f],85.774,761,rich,956.3553908,0.73,,,,,,,,,,
nrdb,b2235,[f],43.517,376,rich,626.54214,0.73,,,,,,,,,,
yfay,b2249,[r],44.225,400,rich,,0.73,,,,,,,,,,
arnb,b2253,,41.649,379,rich,,0.73,,,,,,,,,,
arnc,b2254,,36.339,322,rich,,0.73,,,,,,,,,,
arna,b2255,,74.288,660,rich,,0.73,,,,,,,,,,
menb,b2262,[h],31.633,285,rich,383.9609723,0.73,,,,,,,,,,
elab,b2266,[s],11.306,101,rich,1027.448971,0.73,,,,,,,,,,
elaa,b2267,[r],17.419,153,rich,,0.73,,,,,,,,,,
nuom,b2277,[c],56.524,509,rich,397.7499126,0.73,,,,,,,,,,
nuoj,b2280,[c],19.874,184,rich,54.58499584,0.73,,,,,,,,,,
nuoi,b2281,[c],20.538,180,rich,1235.926013,0.73,,,,,,,,,,
nuoh,b2282,[c],36.219,325,rich,,0.73,,,,,,,,,,
nuog,b2283,,100.3,908,rich,1142.966706,0.73,,,,,,,,,,
nuof,b2284,[c],49.292,445,rich,1741.773452,0.73,,,,,,,,,,
nuoe,b2285,[c],18.59,166,rich,661.9606601,0.73,,,,,,,,,,
nuoc,b2286,[c],68.235,596,rich,1931.179814,0.73,,,,,,,,,,
nuob,b2287,[c],25.056,220,rich,1900.139162,0.73,,,,,,,,,,
nuoa,b2288,,16.457,147,rich,535.6948423,0.73,,,,,,,,,,
alaa,b2290,,45.517,405,rich,123.9774714,0.73,,,,,,,,,,
yfbr,b2291,[r],22.708,199,rich,,0.73,,,,,,,,,,
yfbt,b2293,[r],23.007,216,rich,,0.73,,,,,,,,,,
yfbu,b2294,[s],19.536,164,rich,1230.883934,0.73,,,,,,,,,,
acka,b2296,[c],43.29,400,rich,835.2359825,0.73,,,,,,,,,,
pta,b2297,[r],77.171,714,rich,904.6884618,0.73,,,,,,,,,,
yfcd,b2299,[lr],20.376,180,rich,119.7111537,0.73,,,,,,,,,,
yfce,b2300,,20.122,184,rich,162.312085,0.73,,,,,,,,,,
yfcg,b2302,[o],24.516,215,rich,,0.73,,,,,,,,,,
folx,b2303,[h],14.082,120,rich,1143.937978,0.73,,,,,,,,,,
yfch,b2304,[r],32.698,297,rich,41.33201283,0.73,,,,,,,,,,
hisp,b2306,[e],28.653,257,rich,87.15201108,0.73,,,,,,,,,,
hisq,b2308,[e],24.649,228,rich,,0.73,,,,,,,,,,
hisj,b2309,[et],28.483,260,rich,7401.33007,0.73,,,,,,,,,,
argt,b2310,[et],27.991,260,rich,3450.090169,0.73,,,,,,,,,,
purf,b2312,[f],56.487,505,rich,669.9422434,0.73,,,,,,,,,,
dedd,b2314,[s],22.938,220,rich,,0.73,,,,,,,,,,
folc,b2315,[h],45.405,422,rich,85.41401658,0.73,,,,,,,,,,
accd,b2316,[i],33.322,304,rich,1578.840562,0.73,,,,,,,,,,
usg,b2319,[e],36.364,337,rich,144.5450759,0.73,,,,,,,,,,
pdxb,b2320,[he],41.367,378,rich,380.8231398,0.73,,,,,,,,,,
fabb,b2323,[iq],42.613,406,rich,10901.08131,0.73,,,,,,,,,,
aroc,b2329,[e],39.137,361,rich,254.7306412,0.73,,,,,,,,,,
prmb,b2330,,35.001,310,rich,242.3274219,0.73,,,,,,,,,,
fadj,b2341,,77.071,714,rich,,0.73,,,,,,,,,,
fadi,b2342,,46.53,436,rich,,0.73,,,,,,,,,,
yfcz,b2343,[s],10.318,94,rich,,0.73,,,,,,,,,,
fadl,b2344,[i],48.541,446,rich,359.3509071,0.73,,,,,,,,,,
mlaa,b2346,,28.041,251,rich,382.6817969,0.73,,,,,,,,,,
ints,b2349,[l],44.061,385,rich,,0.73,,,,,,,,,,
gtrb,b2351,,34.635,306,rich,108.4985698,0.73,,,,,,,,,,
gtrs,b2352,,51.483,443,rich,40.41483199,0.73,,,,,,,,,,
evga,b2369,[tk],22.69,204,rich,,0.73,,,,,,,,,,
alac,b2379,,46.216,412,rich,,0.73,,,,,,,,,,
frya,b2383,,92.129,831,rich,,0.73,,,,,,,,,,
glk,b2388,[g],34.723,321,rich,584.7668834,0.73,,,,,,,,,,
nupc,b2393,[f],43.475,400,rich,83.58799092,0.73,,,,,,,,,,
gltx,b2400,[j],53.815,471,rich,2043.652398,0.73,,,,,,,,,,
liga,b2411,[l],73.605,671,rich,,0.73,,,,,,,,,,
zipa,b2412,[d],36.475,328,rich,203.1733821,0.73,,,,,,,,,,
cysk,b2414,[e],34.489,323,rich,25691.09972,0.73,,,,,,,,,,
ptsh,b2415,[g],9.1193,85,rich,8370.19266,0.73,,,,,,,,,,
ptsi,b2416,[g],63.561,575,rich,4033.645686,0.73,,,,,,,,,,
crr,b2417,[g],18.251,169,rich,16272.39448,0.73,,,,,,,,,,
pdxk,b2418,[h],30.847,283,rich,127.3076362,0.73,,,,,,,,,,
cysm,b2421,[e],32.664,303,rich,474.8101067,0.73,,,,,,,,,,
cysa,b2422,[p],41.058,365,rich,393.8952055,0.73,,,,,,,,,,
cysw,b2423,,32.537,291,rich,,0.73,,,,,,,,,,
cysp,b2425,[p],37.614,338,rich,1776.590528,0.73,,,,,,,,,,
ucpa,b2426,,27.85,263,rich,588.1723861,0.73,,,,,,,,,,
murq,b2428,,31.22,298,rich,,0.73,,,,,,,,,,
yfex,b2431,,33.052,299,rich,340.1633947,0.73,,,,,,,,,,
yfey,b2432,,20.897,191,rich,,0.73,,,,,,,,,,
amia,b2435,[m],31.412,289,rich,,0.73,,,,,,,,,,
yffs,b2450,,29.751,269,rich,82.99902825,0.73,,,,,,,,,,
eutm,b2457,,9.8654,97,rich,,0.73,,,,,,,,,,
maeb,b2463,[c],82.416,759,rich,3229.118922,0.73,,,,,,,,,,
tala,b2464,[g],35.658,316,rich,192.5086982,0.73,,,,,,,,,,
tktb,b2465,[g],73.042,667,rich,175.0014683,0.73,,,,,,,,,,
yffb,b2471,[p],13.6,118,rich,,0.73,,,,,,,,,,
dape,b2472,[e],41.269,375,rich,33.37304765,0.73,,,,,,,,,,
tmca,b2474,,74.892,671,rich,,0.73,,,,,,,,,,
ypfj,b2475,[r],31.46,287,rich,29.59568498,0.73,,,,,,,,,,
purc,b2476,[f],26.995,237,rich,7858.953872,0.73,,,,,,,,,,
bamc,b2477,,36.842,344,rich,1044.867228,0.73,,,,,,,,,,
dapa,b2478,[em],31.27,292,rich,1088.249087,0.73,,,,,,,,,,
gcvr,b2479,,20.768,190,rich,,0.73,,,,,,,,,,
bcp,b2480,[o],17.634,156,rich,3625.708242,0.73,,,,,,,,,,
yfgc,b2494,[r],53.907,487,rich,156.0175903,0.73,,,,,,,,,,
yfgd,b2495,[p],13.398,119,rich,651.2436647,0.73,,,,,,,,,,
uraa,b2497,[f],45.06,429,rich,,0.73,,,,,,,,,,
upp,b2498,[f],22.533,208,rich,11646.8958,0.73,,,,,,,,,,
purm,b2499,[f],36.854,345,rich,1858.2087,0.73,,,,,,,,,,
purn,b2500,[f],23.238,212,rich,117.4978941,0.73,,,,,,,,,,
ppk,b2501,[p],80.431,688,rich,23.23954424,0.73,,,,,,,,,,
ppx,b2502,,58.135,513,rich,,0.73,,,,,,,,,,
guaa,b2507,[f],58.679,525,rich,3484.822323,0.73,,,,,,,,,,
guab,b2508,[f],52.022,488,rich,4816.354591,0.73,,,,,,,,,,
der,b2511,[r],55.035,490,rich,293.4861172,0.73,,,,,,,,,,
bamb,b2512,,41.887,392,rich,538.7054835,0.73,,,,,,,,,,
yfgm,b2513,[s],22.176,206,rich,645.8228437,0.73,,,,,,,,,,
hiss,b2514,[j],47.029,424,rich,947.2432206,0.73,,,,,,,,,,
ispg,b2515,[i],40.683,372,rich,447.6780715,0.73,,,,,,,,,,
rodz,b2516,,36.191,337,rich,453.7962551,0.73,,,,,,,,,,
rlmn,b2517,,43.085,384,rich,203.0160666,0.73,,,,,,,,,,
ndk,b2518,[f],15.463,143,rich,28420.97381,0.73,,,,,,,,,,
yfhm,b2520,[r],181.58,1653,rich,,0.73,,,,,,,,,,
ssea,b2521,,30.811,281,rich,224.8434305,0.73,,,,,,,,,,
sseb,b2522,,28.642,258,rich,,0.73,,,,,,,,,,
pepb,b2523,,46.18,427,rich,1848.161326,0.73,,,,,,,,,,
iscx,b2524,,7.7315,66,rich,,0.73,,,,,,,,,,
fdx,b2525,[c],12.331,111,rich,740.2835343,0.73,,,,,,,,,,
hsca,b2526,[o],65.652,616,rich,201.4606057,0.73,,,,,,,,,,
hscb,b2527,[o],20.137,171,rich,,0.73,,,,,,,,,,
isca,b2528,[s],11.556,107,rich,769.0343395,0.73,,,,,,,,,,
iscu,b2529,[c],13.848,128,rich,4812.00691,0.73,,,,,,,,,,
iscs,b2530,,45.089,404,rich,4469.365681,0.73,,,,,,,,,,
iscr,b2531,[k],17.336,162,rich,1188.877321,0.73,,,,,,,,,,
trmj,b2532,,27.048,246,rich,244.6015324,0.73,,,,,,,,,,
suhb,b2533,[g],29.172,267,rich,1184.261721,0.73,,,,,,,,,,
glya,b2551,[e],45.316,417,rich,9695.839154,0.73,,,,,,,,,,
hmp,b2552,[c],43.867,396,rich,,0.73,,,,,,,,,,
glnb,b2553,[e],12.425,112,rich,1794.544617,0.73,,,,,,,,,,
purl,b2557,[f],141.4,1295,rich,1004.781735,0.73,,,,,,,,,,
pdxj,b2564,[h],26.384,243,rich,514.0403127,0.73,,,,,,,,,,
rnc,b2567,[k],25.55,226,rich,394.5706774,0.73,,,,,,,,,,
lepb,b2568,[u],35.96,324,rich,151.1487567,0.73,,,,,,,,,,
lepa,b2569,[m],66.57,599,rich,494.4291924,0.73,,,,,,,,,,
rseb,b2571,[t],35.749,318,rich,,0.73,,,,,,,,,,
rsea,b2572,[t],24.321,216,rich,,0.73,,,,,,,,,,
rpoe,b2573,[k],21.695,191,rich,,0.73,,,,,,,,,,
nadb,b2574,[h],60.337,540,rich,49.31711677,0.73,,,,,,,,,,
srmb,b2576,[lkj],49.914,444,rich,87.69160564,0.73,,,,,,,,,,
yfid,b2579,[r],14.284,127,rich,2413.068462,0.73,,,,,,,,,,
ung,b2580,[l],25.693,229,rich,105.379557,0.73,,,,,,,,,,
yfif,b2581,[j],37.784,345,rich,222.4807948,0.73,,,,,,,,,,
trxc,b2582,[oc],15.555,139,rich,192.0145151,0.73,,,,,,,,,,
pka,b2584,,97.986,886,rich,,0.73,,,,,,,,,,
pssa,b2585,,52.801,451,rich,214.6634851,0.73,,,,,,,,,,
kgtp,b2587,[gepr],47.052,432,rich,135.5089666,0.73,,,,,,,,,,
clpb,b2592,[o],95.584,857,rich,1283.86889,0.73,,,,,,,,,,
yfih,b2593,[s],26.339,243,rich,,0.73,,,,,,,,,,
rlud,b2594,[j],37.121,326,rich,234.6879155,0.73,,,,,,,,,,
bamd,b2595,,27.829,245,rich,1178.372903,0.73,,,,,,,,,,
raia,b2597,,12.784,113,rich,895.7465923,0.73,,,,,,,,,,
phea,b2599,[e],43.111,386,rich,655.8113072,0.73,,,,,,,,,,
tyra,b2600,[e],42.042,373,rich,69.21833044,0.73,,,,,,,,,,
arof,b2601,[e],38.804,356,rich,72.81065376,0.73,,,,,,,,,,
rpls,b2606,[j],13.133,115,rich,24249.62675,0.73,,,,,,,,,,
rimm,b2608,,20.605,182,rich,453.747303,0.73,,,,,,,,,,
rpsp,b2609,[j],9.1904,82,rich,35341.44752,0.73,,,,,,,,,,
ffh,b2610,[u],49.787,453,rich,593.3073657,0.73,,,,,,,,,,
grpe,b2614,[o],21.798,197,rich,3989.942017,0.73,,,,,,,,,,
bame,b2617,,12.302,113,rich,,0.73,,,,,,,,,,
smpb,b2620,[o],18.269,160,rich,183.033125,0.73,,,,,,,,,,
csid,b2659,,37.36,325,rich,,0.73,,,,,,,,,,
gabd,b2661,[c],51.719,482,rich,523.4692412,0.73,,,,,,,,,,
gabt,b2662,[e],45.774,426,rich,253.1882562,0.73,,,,,,,,,,
ygau,b2665,[s],16.063,149,rich,1438.7192,0.73,,,,,,,,,,
stpa,b2669,[r],15.347,134,rich,2412.335277,0.73,,,,,,,,,,
ygam,b2672,,12.288,113,rich,118.0819077,0.73,,,,,,,,,,
prox,b2679,[e],36.022,330,rich,118.9892528,0.73,,,,,,,,,,
mpra,b2684,[k],20.563,176,rich,761.3473062,0.73,,,,,,,,,,
