accession_number,category,go_mapping,hierarchy,id
KW-0600,Molecular function,GO:0009881; photoreceptor activity, Sensory transduction; Photoreceptor protein,Photoreceptor protein
KW-0601,Biological process,GO:0009853; photorespiration, Photorespiration,Photorespiration
KW-0602,Biological process,GO:0015979; photosynthesis, Photosynthesis,Photosynthesis
KW-0603,Cellular component,GO:0009522; photosystem I, Photosystem I,Photosystem I
KW-0604,Cellular component,GO:0009523; photosystem II, Photosystem II,Photosystem II
KW-0605,Cellular component,GO:0030089; phycobilisome, Phycobilisome,Phycobilisome
KW-0607,Biological process,GO:0010017; red or far-red light signaling pathway, Phytochrome signaling pathway,Phytochrome signaling pathway
KW-0608,Ligand,GO:0031409; pigment binding, Pigment,Pigment
KW-0611,Biological process,GO:0006952; defense response, Plant defense,Plant defense
KW-0614,Technical term,, Plasmid,Plasmid
KW-0615,Biological process,GO:0006276; plasmid maintenance, Plasmid copy control,Plasmid copy control
KW-0616,Biological process,GO:0030541; plasmid partitioning, Plasmid partition,Plasmid partition
KW-0617,Biological process,, Plasminogen activation,Plasminogen activation
KW-0934,Cellular component,GO:0009536; plastid, Plastid,Plastid
KW-1001,Cellular component,GO:0009528; plastid inner membrane, Plastid; Plastid inner membrane,Plastid inner membrane
KW-1002,Cellular component,GO:0009527; plastid outer membrane, Plastid; Plastid outer membrane,Plastid outer membrane
KW-0618,Ligand,, Plastoquinone,Plastoquinone
KW-1202,Molecular function,, Toxin; Hemostasis impairing toxin; Platelet aggregation activating toxin,Platelet aggregation activating toxin
KW-1201,Molecular function,, Toxin; Hemostasis impairing toxin; Platelet aggregation inhibiting toxin,Platelet aggregation inhibiting toxin
KW-0620,Biological process,GO:0006596; polyamine biosynthetic process, Polyamine biosynthesis,Polyamine biosynthesis
KW-0621,Coding sequence diversity,, Polymorphism,Polymorphism
KW-0624,Biological process,GO:0000272; polysaccharide catabolic process, Carbohydrate metabolism; Polysaccharide degradation,Polysaccharide degradation
KW-0625,Biological process,GO:0015774; polysaccharide transport, Transport; Sugar transport; Polysaccharide transport,Polysaccharide transport
KW-1021,Disease,, Pontocerebellar hypoplasia,Pontocerebellar hypoplasia
KW-1172,Biological process,GO:0044694; pore-mediated entry of viral genome into host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Pore-mediated penetration of viral genome into host cell,Pore-mediated penetration of viral genome into host cell
KW-0626,Molecular function,GO:0046930; pore complex, Porin,Porin
KW-0627,Biological process,GO:0006779; porphyrin-containing compound biosynthetic process, Porphyrin biosynthesis,Porphyrin biosynthesis
KW-0628,Cellular component,GO:0045211; postsynaptic membrane, Cell junction; Synapse; Postsynaptic cell membrane,Postsynaptic cell membrane
KW-0629,Molecular function,GO:0035792; host cell postsynaptic membrane, Toxin; Neurotoxin; Postsynaptic neurotoxin,Postsynaptic neurotoxin
KW-0630,Ligand,, Potassium,Potassium
KW-0631,Molecular function,GO:0071805; potassium ion transmembrane transport, Transport; Ion transport; Potassium transport; Potassium channel,Potassium channel
KW-0632,Molecular function,GO:0019870; potassium channel inhibitor activity, Toxin; Ion channel impairing toxin; Potassium channel impairing toxin,Potassium channel impairing toxin
KW-0633,Biological process,GO:0006813; potassium ion transport, Potassium; Potassium transport,Potassium transport
KW-0634,Ligand,, PQQ,PQQ
KW-0884,Biological process,GO:0018189; pyrroloquinoline quinone biosynthetic process, PQQ biosynthesis,PQQ biosynthesis
KW-0635,Biological process,GO:0007565; female pregnancy, Pregnancy,Pregnancy
KW-1066,Disease,, Premature ovarian failure,Premature ovarian failure
KW-0636,PTM,, Lipoprotein; Prenylation,Prenylation
KW-0637,Molecular function,GO:0004659; prenyltransferase activity, Transferase; Prenyltransferase,Prenyltransferase
KW-0638,Molecular function,, Toxin; Neurotoxin; Presynaptic neurotoxin,Presynaptic neurotoxin
KW-0990,Disease,, Ciliopathy; Primary ciliary dyskinesia,Primary ciliary dyskinesia
KW-0982,Disease,, Primary hypomagnesemia,Primary hypomagnesemia
KW-0905,Disease,, Primary microcephaly,Primary microcephaly
KW-1274,Disease,, Primary mitochondrial disease,Primary mitochondrial disease
KW-0639,Cellular component,GO:1990077; primosome complex, Primosome,Primosome
KW-0640,Molecular function,, Prion,Prion
KW-0935,Disease,, Primary mitochondrial disease; Progressive external ophthalmoplegia,Progressive external ophthalmoplegia
KW-0641,Biological process,GO:0006561; proline biosynthetic process, Amino-acid biosynthesis; Proline biosynthesis,Proline biosynthesis
KW-0642,Biological process,GO:0006560; proline metabolic process, Proline metabolism,Proline metabolism
KW-0643,Biological process,GO:0001516; prostaglandin biosynthetic process, Lipid metabolism; Fatty acid metabolism; Prostaglandin metabolism; Prostaglandin biosynthesis,Prostaglandin biosynthesis
KW-0644,Biological process,GO:0006693; prostaglandin metabolic process, Lipid metabolism; Fatty acid metabolism; Prostaglandin metabolism,Prostaglandin metabolism
KW-0645,Molecular function,GO:0008233; peptidase activity, Hydrolase; Protease,Protease
KW-0646,Molecular function,GO:0030414; peptidase inhibitor activity, Protease inhibitor,Protease inhibitor
KW-0647,Cellular component,GO:0000502; proteasome complex, Proteasome,Proteasome
KW-0648,Biological process,GO:0006412; translation, Protein biosynthesis,Protein biosynthesis
KW-0649,Molecular function,GO:0004860; protein kinase inhibitor activity, Protein kinase inhibitor,Protein kinase inhibitor
KW-0904,Molecular function,GO:0004721; phosphoprotein phosphatase activity, Hydrolase; Protein phosphatase,Protein phosphatase
KW-0650,Molecular function,GO:0004864; protein phosphatase inhibitor activity, Protein phosphatase inhibitor,Protein phosphatase inhibitor
KW-0651,PTM,, Autocatalytic cleavage; Protein splicing,Protein splicing
KW-0652,Molecular function,GO:0017148; negative regulation of translation, Protein synthesis inhibitor,Protein synthesis inhibitor
KW-0653,Biological process,GO:0015031; protein transport, Transport; Protein transport,Protein transport
KW-0654,PTM,, Glycoprotein; Proteoglycan,Proteoglycan
KW-1267,Technical term,, Proteomics identification,Proteomics identification
KW-0655,Molecular function,GO:0016504; peptidase activator activity, Prothrombin activator,Prothrombin activator
KW-0656,Disease,, Proto-oncogene,Proto-oncogene
KW-1275,Molecular function,, Toxin; Ion channel impairing toxin; Proton-gated sodium channel impairing toxin,Proton-gated sodium channel impairing toxin
KW-0657,Disease,, Pseudohermaphroditism,Pseudohermaphroditism
KW-9991,,,,
KW-0658,Biological process,GO:0006164; purine nucleotide biosynthetic process, Purine biosynthesis,Purine biosynthesis
KW-0659,Biological process,GO:0006144; purine nucleobase metabolic process, Purine metabolism,Purine metabolism
KW-0660,Biological process,GO:0006166; purine ribonucleoside salvage, Purine salvage,Purine salvage
KW-0661,Biological process,GO:0009446; putrescine biosynthetic process, Putrescine biosynthesis,Putrescine biosynthesis
KW-0662,Biological process,GO:0019363; pyridine nucleotide biosynthetic process, Pyridine nucleotide biosynthesis,Pyridine nucleotide biosynthesis
KW-0663,Ligand,, Pyridoxal phosphate,Pyridoxal phosphate
KW-0664,Biological process,GO:0008615; pyridoxine biosynthetic process, Pyridoxine biosynthesis,Pyridoxine biosynthesis
KW-0665,Biological process,GO:0006221; pyrimidine nucleotide biosynthetic process, Pyrimidine biosynthesis,Pyrimidine biosynthesis
KW-0666,Molecular function,GO:0001660; fever generation, Pyrogen,Pyrogen
KW-0668,Disease,, Hereditary hemolytic anemia; Pyropoikilocytosis,Pyropoikilocytosis
KW-0873,PTM,, Pyrrolidone carboxylic acid,Pyrrolidone carboxylic acid
KW-0669,Coding sequence diversity,, Pyrrolysine,Pyrrolysine
KW-0670,Ligand,, Pyruvate,Pyruvate
KW-0671,Biological process,GO:0008616; queuosine biosynthetic process, Queuosine biosynthesis,Queuosine biosynthesis
KW-0672,Biological process,GO:0019630; quinate metabolic process, Quinate metabolism,Quinate metabolism
KW-0874,PTM,GO:0048038; quinone binding, Quinone,Quinone
KW-0673,Biological process,GO:0009372; quorum sensing, Quorum sensing,Quorum sensing
KW-0674,Cellular component,, Reaction center,Reaction center
KW-0675,Molecular function,, Receptor,Receptor
KW-0676,Domain,, Redox-active center,Redox-active center
KW-1185,Technical term,, Reference proteome,Reference proteome
KW-0677,Domain,, Repeat,Repeat
KW-0678,Molecular function,, Repressor,Repressor
KW-0679,Biological process,GO:0070469; respirasome, Transport; Electron transport; Respiratory chain,Respiratory chain
KW-0680,Biological process,GO:0009307; DNA restriction-modification system, Restriction system,Restriction system
KW-1258,Biological process,GO:0099018; restriction-modification system evasion by virus, Host-virus interaction; Restriction-modification system evasion by virus,Restriction-modification system evasion by virus
KW-0681,Molecular function,GO:0007602; phototransduction, Receptor; Photoreceptor protein; Retinal protein,Retinal protein
KW-0682,Disease,, Retinitis pigmentosa,Retinitis pigmentosa
KW-0683,Ligand,GO:0019841; retinol binding, Retinol-binding,Retinol-binding
KW-0684,Biological process,GO:0019299; rhamnose metabolic process, Rhamnose metabolism,Rhamnose metabolism
KW-0685,Disease,, Rhizomelic chondrodysplasia punctata,Rhizomelic chondrodysplasia punctata
KW-0686,Biological process,GO:0009231; riboflavin biosynthetic process, Riboflavin biosynthesis,Riboflavin biosynthesis
KW-0687,Molecular function,, Ribonucleoprotein,Ribonucleoprotein
KW-0688,Coding sequence diversity,, Ribosomal frameshifting,Ribosomal frameshifting
KW-0689,Molecular function,GO:0005840; ribosome, Ribonucleoprotein; Ribosomal protein,Ribosomal protein
KW-1197,Coding sequence diversity,, Ribosomal skipping,Ribosomal skipping
KW-0690,Biological process,GO:0042254; ribosome biogenesis, Ribosome biogenesis,Ribosome biogenesis
KW-0691,Coding sequence diversity,, RNA editing,RNA editing
KW-0692,Biological process,GO:0042245; RNA repair, RNA repair,RNA repair
KW-1159,Coding sequence diversity,, RNA suppression of termination,RNA suppression of termination
KW-1158,Coding sequence diversity,, RNA termination-reinitiation,RNA termination-reinitiation
KW-1156,Coding sequence diversity,, RNA translational shunting,RNA translational shunting
KW-0694,Molecular function,GO:0003723; RNA binding, RNA-binding,RNA-binding
KW-0695,Molecular function,GO:0003964; RNA-directed DNA polymerase activity, Transferase; Nucleotidyltransferase; RNA-directed DNA polymerase,RNA-directed DNA polymerase
KW-0696,Molecular function,GO:0003968; RNA-directed 5'-3' RNA polymerase activity, Transferase; Nucleotidyltransferase; RNA-directed RNA polymerase,RNA-directed RNA polymerase
KW-0943,Biological process,GO:0031047; gene silencing by RNA, RNA-mediated gene silencing,RNA-mediated gene silencing
KW-0697,Molecular function,GO:0003755; peptidyl-prolyl cis-trans isomerase activity, Isomerase; Rotamase,Rotamase
KW-0698,Biological process,GO:0006364; rRNA processing, rRNA processing,rRNA processing
KW-0699,Molecular function,GO:0019843; rRNA binding, RNA-binding; rRNA-binding,rRNA-binding
KW-1219,Molecular function,, Toxin; Ion channel impairing toxin; Calcium channel impairing toxin; Ryanodine-sensitive calcium-release channel impairing toxin,Ryanodine-sensitive calcium-release channel impairing toxin
KW-0949,Ligand,, S-adenosyl-L-methionine,S-adenosyl-L-methionine
KW-0701,Cellular component,GO:0030115; S-layer, Secreted; Cell wall; S-layer,S-layer
KW-0702,PTM,, S-nitrosylation,S-nitrosylation
KW-0703,Cellular component,GO:0016529; sarcoplasmic reticulum, Sarcoplasmic reticulum,Sarcoplasmic reticulum
KW-0704,Ligand,, Schiff base,Schiff base
KW-1211,Disease,, Schizophrenia,Schizophrenia
KW-0705,Disease,, SCID,SCID
KW-0964,Cellular component,GO:0005576; extracellular region, Secreted,Secreted
KW-0708,Molecular function,GO:0045735; nutrient reservoir activity, Storage protein; Seed storage protein,Seed storage protein
KW-0709,Molecular function,GO:0007367; segment polarity determination, Developmental protein; Segmentation polarity protein,Segmentation polarity protein
KW-0711,Ligand,, Selenium,Selenium
KW-0712,Coding sequence diversity,, Selenocysteine,Selenocysteine
KW-0713,Biological process,GO:0060320; rejection of self pollen, Self-incompatibility,Self-incompatibility
KW-0980,Disease,, Ciliopathy; Senior-Loken syndrome,Senior-Loken syndrome
KW-0716,Biological process,GO:0050896; response to stimulus, Sensory transduction,Sensory transduction
KW-0717,Biological process,GO:0000917; division septum assembly, Cell cycle; Cell division; Septation,Septation
KW-0718,Biological process,GO:0006564; L-serine biosynthetic process, Amino-acid biosynthesis; Serine biosynthesis,Serine biosynthesis
KW-0719,Molecular function,GO:0052689; carboxylic ester hydrolase activity, Hydrolase; Serine esterase,Serine esterase
KW-0720,Molecular function,GO:0008236; serine-type peptidase activity, Hydrolase; Protease; Serine protease,Serine protease
KW-0721,Molecular function,, Serine protease homolog,Serine protease homolog
KW-0722,Molecular function,GO:0004867; serine-type endopeptidase inhibitor activity, Protease inhibitor; Serine protease inhibitor,Serine protease inhibitor
KW-0723,Molecular function,GO:0004674; protein serine/threonine kinase activity, Transferase; Kinase; Serine/threonine-protein kinase,Serine/threonine-protein kinase
KW-0724,Biological process,GO:0042427; serotonin biosynthetic process, Serotonin biosynthesis,Serotonin biosynthesis
KW-0726,Biological process,GO:0007548; sex differentiation, Differentiation; Sexual differentiation,Sexual differentiation
KW-0727,Domain,, SH2 domain,SH2 domain
KW-0728,Domain,, SH3 domain,SH3 domain
KW-0729,Domain,GO:0017124; SH3 domain binding, SH3-binding,SH3-binding
KW-0940,Disease,, Short QT syndrome,Short QT syndrome
KW-0730,Ligand,, Sialic acid,Sialic acid
KW-0731,Molecular function,GO:0016987; sigma factor activity, Sigma factor,Sigma factor
KW-0732,Domain,, Signal,Signal
KW-0733,Cellular component,"GO:0005786; signal recognition particle, endoplasmic reticulum targeting", Signal recognition particle,Signal recognition particle
KW-0734,Molecular function,GO:0009968; negative regulation of signal transduction, Signal transduction inhibitor,Signal transduction inhibitor
KW-0735,Domain,, Transmembrane; Signal-anchor,Signal-anchor
KW-0736,Cellular component,GO:0008180; COP9 signalosome, Signalosome,Signalosome
KW-0737,Molecular function,, Silk protein,Silk protein
KW-0915,Ligand,, Sodium,Sodium
KW-0894,Molecular function,GO:0005272; sodium channel activity, Sodium; Sodium channel,Sodium channel
KW-0739,Biological process,GO:0006814; sodium ion transport, Sodium; Sodium transport,Sodium transport
KW-0740,Biological process,GO:0006814; sodium ion transport, Sodium; Sodium/potassium transport,Sodium/potassium transport
KW-0741,Biological process,, DNA damage; SOS response; SOS mutagenesis,SOS mutagenesis
KW-0742,Biological process,GO:0009432; SOS response, DNA damage; SOS response,SOS response
KW-0744,Biological process,GO:0007283; spermatogenesis, Differentiation; Spermatogenesis,Spermatogenesis
KW-0745,Biological process,GO:0008295; spermidine biosynthetic process, Spermidine biosynthesis,Spermidine biosynthesis
KW-0746,Biological process,GO:0006665; sphingolipid metabolic process, Lipid metabolism; Sphingolipid metabolism,Sphingolipid metabolism
KW-0950,Disease,, Neurodegeneration; Spinocerebellar ataxia,Spinocerebellar ataxia
KW-0747,Cellular component,GO:0005681; spliceosomal complex, Spliceosome,Spliceosome
KW-0748,Developmental stage,, Sporozoite,Sporozoite
KW-0749,Biological process,GO:0030435; sporulation resulting in formation of a cellular spore, Sporulation,Sporulation
KW-0750,Biological process,GO:0019252; starch biosynthetic process, Starch biosynthesis,Starch biosynthesis
KW-0751,Disease,, Stargardt disease,Stargardt disease
KW-0752,Biological process,GO:0006694; steroid biosynthetic process, Lipid metabolism; Lipid biosynthesis; Steroid biosynthesis,Steroid biosynthesis
KW-0753,Biological process,GO:0008202; steroid metabolic process, Lipid metabolism; Steroid metabolism,Steroid metabolism
KW-0754,Ligand,GO:0005496; steroid binding, Lipid-binding; Steroid-binding,Steroid-binding
KW-0755,Biological process,GO:0006694; steroid biosynthetic process, Steroidogenesis,Steroidogenesis
KW-0756,Biological process,GO:0016126; sterol biosynthetic process, Lipid metabolism; Steroid metabolism; Sterol metabolism; Sterol biosynthesis,Sterol biosynthesis
KW-1207,Biological process,, Lipid metabolism; Steroid metabolism; Sterol metabolism,Sterol metabolism
KW-0757,Disease,, Stickler syndrome,Stickler syndrome
KW-0758,Molecular function,GO:0045735; nutrient reservoir activity, Storage protein,Storage protein
KW-0759,Biological process,GO:0019872; streptomycin biosynthetic process, Antibiotic biosynthesis; Streptomycin biosynthesis,Streptomycin biosynthesis
KW-0346,Biological process,, Stress response,Stress response
KW-0762,Biological process,GO:0008643; carbohydrate transport, Transport; Sugar transport,Sugar transport
KW-0763,Biological process,GO:0009061; anaerobic respiration, Sulfate respiration,Sulfate respiration
KW-0764,Biological process,GO:0008272; sulfate transport, Transport; Sulfate transport,Sulfate transport
KW-0765,PTM,, Sulfation,Sulfation
KW-0766,Molecular function,, Superantigen,Superantigen
KW-1260,Biological process,GO:0098669; superinfection exclusion, Host-virus interaction; Superinfection exclusion,Superinfection exclusion
KW-0941,Molecular function,, Suppressor of RNA silencing,Suppressor of RNA silencing
KW-0767,Cellular component,GO:0005576; extracellular region, Secreted; Surface film,Surface film
KW-0768,Domain,, Sushi,Sushi
KW-0769,Biological process,GO:0015293; symporter activity, Transport; Symport,Symport
KW-0770,Cellular component,GO:0045202; synapse, Cell junction; Synapse,Synapse
KW-0771,Cellular component,GO:0043005; neuron projection, Cell junction; Synapse; Synaptosome,Synaptosome
KW-1180,Biological process,GO:0060141; positive regulation of syncytium formation by virus, Syncytium formation induced by viral infection,Syncytium formation induced by viral infection
KW-0772,Disease,, Systemic lupus erythematosus,Systemic lupus erythematosus
KW-1279,Cellular component,GO:0042101; T cell receptor complex, T cell receptor,T cell receptor
KW-1140,Cellular component,GO:0039615; T=1 icosahedral viral capsid, Virion; T=1 icosahedral capsid protein,T=1 icosahedral capsid protein
KW-1146,Cellular component,GO:0039621; T=13 icosahedral viral capsid, Virion; T=13 icosahedral capsid protein,T=13 icosahedral capsid protein
KW-1149,Cellular component,GO:0039627; T=147 icosahedral capsid, Virion; T=147 icosahedral capsid protein,T=147 icosahedral capsid protein
KW-1147,Cellular component,GO:0039622; T=16 icosahedral viral capsid, Virion; T=16 icosahedral capsid protein,T=16 icosahedral capsid protein
KW-1150,Cellular component,GO:0039628; T=169 icosahedral viral capsid, Virion; T=169 icosahedral capsid protein,T=169 icosahedral capsid protein
KW-1141,Cellular component,GO:0039616; T=2 icosahedral viral capsid, Virion; T=2 icosahedral capsid protein,T=2 icosahedral capsid protein
KW-1151,Cellular component,GO:0039629; T=219 icosahedral capsid, Virion; T=219 icosahedral capsid protein,T=219 icosahedral capsid protein
KW-1148,Cellular component,GO:0039623; T=25 icosahedral viral capsid, Virion; T=25 icosahedral capsid protein,T=25 icosahedral capsid protein
KW-1142,Cellular component,GO:0039617; T=3 icosahedral viral capsid, Virion; T=3 icosahedral capsid protein,T=3 icosahedral capsid protein
KW-1144,Cellular component,GO:0039619; T=4 icosahedral viral capsid, Virion; T=4 icosahedral capsid protein,T=4 icosahedral capsid protein
KW-1145,Cellular component,GO:0039620; T=7 icosahedral viral capsid, Virion; T=7 icosahedral capsid protein,T=7 icosahedral capsid protein
KW-1143,Cellular component,GO:0039618; T=pseudo3 icosahedral viral capsid, Virion; T=pseudo3 icosahedral capsid protein,T=pseudo3 icosahedral capsid protein
KW-1137,Developmental stage,, Tachyzoite,Tachyzoite
KW-1266,Cellular component,, Target cell cytoplasm,Target cell cytoplasm
KW-1052,Cellular component,GO:0044218; other organism cell membrane, Membrane; Target membrane; Target cell membrane,Target cell membrane
KW-1053,Cellular component,, Membrane; Target membrane,Target membrane
KW-0919,Biological process,GO:0050909; sensory perception of taste, Sensory transduction; Taste,Taste
KW-0776,Molecular function,, Taste-modifying protein,Taste-modifying protein
KW-0876,Biological process,GO:0042617; paclitaxel biosynthetic process, Taxol biosynthesis,Taxol biosynthesis
KW-9990,,,,
KW-0777,Biological process,GO:0019350; teichoic acid biosynthetic process, Teichoic acid biosynthesis,Teichoic acid biosynthesis
KW-0778,Biological process,GO:0046690; response to tellurium ion, Tellurium resistance,Tellurium resistance
KW-0779,Cellular component,"GO:0000781; chromosome, telomeric region", Chromosome; Telomere,Telomere
KW-0780,Biological process,GO:0006304; DNA modification, Terminal addition,Terminal addition
KW-0783,Biological process,GO:0006729; tetrahydrobiopterin biosynthetic process, Tetrahydrobiopterin biosynthesis,Tetrahydrobiopterin biosynthesis
KW-0784,Biological process,GO:0009228; thiamine biosynthetic process, Thiamine biosynthesis,Thiamine biosynthesis
KW-0785,Biological process,GO:0009230; thiamine catabolic process, Thiamine catabolism,Thiamine catabolism
KW-0786,Ligand,, Thiamine pyrophosphate,Thiamine pyrophosphate
KW-0787,Cellular component,GO:0032982; myosin filament, Thick filament,Thick filament
KW-0882,PTM,, Thioester bond,Thioester bond
KW-0883,PTM,, Thioether bond,Thioether bond
KW-0788,Molecular function,GO:0008234; cysteine-type peptidase activity, Hydrolase; Protease; Thiol protease,Thiol protease
KW-0789,Molecular function,GO:0004869; cysteine-type endopeptidase inhibitor activity, Protease inhibitor; Thiol protease inhibitor,Thiol protease inhibitor
KW-0791,Biological process,GO:0009088; threonine biosynthetic process, Amino-acid biosynthesis; Threonine biosynthesis,Threonine biosynthesis
KW-0888,Molecular function,GO:0004298; threonine-type endopeptidase activity, Hydrolase; Protease; Threonine protease,Threonine protease
KW-0792,Disease,, Thrombophilia,Thrombophilia
KW-0793,Cellular component,GO:0009579; thylakoid, Thylakoid,Thylakoid
KW-0795,Molecular function,, Hormone; Thyroid hormone,Thyroid hormone
KW-0893,Biological process,GO:0042446; hormone biosynthetic process, Thyroid hormones biosynthesis,Thyroid hormones biosynthesis
KW-0796,Cellular component,GO:0005923; bicellular tight junction, Cell junction; Tight junction,Tight junction
KW-0797,Biological process,GO:0048771; tissue remodeling, Tissue remodeling,Tissue remodeling
KW-0798,Domain,, TonB box,TonB box
KW-0799,Molecular function,GO:0003916; DNA topoisomerase activity, Isomerase; Topoisomerase,Topoisomerase
KW-0800,Molecular function,GO:0090729; toxin activity, Toxin,Toxin
KW-1277,Biological process,, Toxin-antitoxin system,Toxin-antitoxin system
KW-0801,PTM,, TPQ,TPQ
KW-0802,Domain,, TPR repeat,TPR repeat
KW-0804,Biological process,, Transcription,Transcription
KW-0889,Biological process,GO:0031564; transcription antitermination, Transcription; Transcription regulation; Transcription antitermination,Transcription antitermination
KW-0805,Biological process,, Transcription; Transcription regulation,Transcription regulation
KW-0806,Biological process,"GO:0006353; DNA-templated transcription, termination", Transcription; Transcription regulation; Transcription termination,Transcription termination
KW-0807,Molecular function,GO:0007165; signal transduction, Transducer,Transducer
KW-0808,Molecular function,GO:0016740; transferase activity, Transferase,Transferase
KW-0809,Domain,, Transit peptide,Transit peptide
KW-0810,Biological process,GO:0006417; regulation of translation, Translation regulation,Translation regulation
KW-1155,Molecular function,, Translational shunt,Translational shunt
KW-1278,Molecular function,, Translocase,Translocase
KW-0811,Biological process,GO:0015031; protein transport, Transport; Protein transport; Translocation,Translocation
KW-0812,Domain,GO:0016021; integral component of membrane, Transmembrane,Transmembrane
KW-1134,Domain,, Transmembrane; Transmembrane beta strand,Transmembrane beta strand
KW-1133,Domain,, Transmembrane; Transmembrane helix,Transmembrane helix
KW-0813,Biological process,, Transport,Transport
KW-0814,Technical term,, Transposable element,Transposable element
KW-0815,Biological process,GO:0032196; transposition, Transposition,Transposition
KW-0816,Biological process,GO:0006099; tricarboxylic acid cycle, Tricarboxylic acid cycle,Tricarboxylic acid cycle
KW-0817,Biological process,GO:0046677; response to antibiotic, Antibiotic resistance; Trimethoprim resistance,Trimethoprim resistance
KW-0818,Coding sequence diversity,, Triplet repeat expansion,Triplet repeat expansion
KW-0819,Biological process,GO:0008033; tRNA processing, tRNA processing,tRNA processing
KW-0820,Molecular function,GO:0000049; tRNA binding, RNA-binding; tRNA-binding,tRNA-binding
KW-1138,Developmental stage,, Trophozoite,Trophozoite
KW-0821,Disease,, Trypanosomiasis,Trypanosomiasis
KW-0822,Biological process,GO:0000162; tryptophan biosynthetic process, Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Tryptophan biosynthesis,Tryptophan biosynthesis
KW-0823,Biological process,GO:0006569; tryptophan catabolic process, Tryptophan catabolism,Tryptophan catabolism
KW-0824,PTM,, TTQ,TTQ
KW-0825,Molecular function,, Tumor antigen,Tumor antigen
KW-0043,Disease,, Tumor suppressor,Tumor suppressor
KW-0826,Ligand,, Tungsten,Tungsten
KW-0902,Biological process,GO:0000160; phosphorelay signal transduction system, Two-component regulatory system,Two-component regulatory system
KW-0827,Biological process,GO:0006571; tyrosine biosynthetic process, Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Tyrosine biosynthesis,Tyrosine biosynthesis
KW-0828,Biological process,GO:0006572; tyrosine catabolic process, Tyrosine catabolism,Tyrosine catabolism
KW-0829,Molecular function,GO:0004713; protein tyrosine kinase activity, Transferase; Kinase; Tyrosine-protein kinase,Tyrosine-protein kinase
KW-0830,Ligand,, Ubiquinone,Ubiquinone
KW-0831,Biological process,GO:0006744; ubiquinone biosynthetic process, Ubiquinone biosynthesis,Ubiquinone biosynthesis
KW-0832,PTM,, Ubl conjugation,Ubl conjugation
KW-0833,Biological process,, Ubl conjugation pathway,Ubl conjugation pathway
KW-0834,Biological process,GO:0006986; response to unfolded protein, Unfolded protein response,Unfolded protein response
KW-0835,Biological process,GO:0000050; urea cycle, Urea cycle,Urea cycle
KW-0836,Disease,, Deafness; Usher syndrome,Usher syndrome
KW-0926,Cellular component,GO:0005773; vacuole, Vacuole,Vacuole
KW-0837,Ligand,, Vanadium,Vanadium
KW-0838,Molecular function,, Vasoactive,Vasoactive
KW-0839,Molecular function,GO:0042310; vasoconstriction, Vasoactive; Vasoconstrictor,Vasoconstrictor
KW-0840,Molecular function,GO:0042311; vasodilation, Vasoactive; Vasodilator,Vasodilator
KW-1233,Biological process,GO:0098671; adhesion receptor-mediated virion attachment to host cell, Virus entry into host cell; Viral attachment to host cell; Viral attachment to host adhesion receptor,Viral attachment to host adhesion receptor
KW-1161,Biological process,GO:0019062; virion attachment to host cell, Virus entry into host cell; Viral attachment to host cell,Viral attachment to host cell
KW-1240,Biological process,GO:0098931; virion attachment to host cell flagellum, Virus entry into host cell; Viral attachment to host cell; Viral attachment to host cell flagellum,Viral attachment to host cell flagellum
KW-1175,Biological process,GO:0039666; virion attachment to host cell pilus, Virus entry into host cell; Viral attachment to host cell; Viral attachment to host cell pilus,Viral attachment to host cell pilus
KW-1234,Biological process,GO:0098670; entry receptor-mediated virion attachment to host cell, Virus entry into host cell; Viral attachment to host cell; Viral attachment to host entry receptor,Viral attachment to host entry receptor
KW-1226,Cellular component,"GO:0098025; virus tail, baseplate", Virion; Viral tail protein; Viral baseplate protein,Viral baseplate protein
KW-1198,Biological process,GO:0046755; viral budding, Viral release from host cell; Viral budding,Viral budding
KW-1187,Biological process,GO:0039702; viral budding via host ESCRT complex, Viral release from host cell; Viral budding; Viral budding via the host ESCRT complexes,Viral budding via the host ESCRT complexes
KW-0118,Biological process,GO:0019069; viral capsid assembly, Viral release from host cell; Viral capsid assembly,Viral capsid assembly
KW-1273,Biological process,GO:0046797; viral procapsid maturation, Viral release from host cell; Viral capsid assembly; Viral capsid maturation,Viral capsid maturation
KW-1242,Molecular function,"GO:0099000; viral genome ejection through host cell envelope, contractile tail mechanism", Viral contractile tail ejection system,Viral contractile tail ejection system
KW-1194,Biological process,GO:0039693; viral DNA genome replication, Viral DNA replication,Viral DNA replication
KW-0261,Cellular component,GO:0019031; viral envelope, Virion; Viral envelope protein,Viral envelope protein
KW-1255,Molecular function,, Virulence; Modulation of host virulence by virus; Viral exotoxin,Viral exotoxin
KW-1249,Biological process,GO:0099045; viral extrusion, Viral release from host cell; Viral extrusion,Viral extrusion
KW-1253,Biological process,GO:0099009; viral genome circularization, Virus entry into host cell; Viral genome circularization,Viral genome circularization
KW-1171,Biological process,GO:0039678; viral genome ejection through host cell envelope, Virus entry into host cell; Viral penetration into host cytoplasm; Viral genome ejection through host cell envelope,Viral genome ejection through host cell envelope
KW-1250,Biological process,GO:0032359; provirus excision, Viral genome excision,Viral genome excision
